attempt_idx,waypoint_idx,x,y,yaw,success,retries_used,time_to_goal_sec,recovery_used,note,stamp_sec
0,0,-1.800,-0.800,0.000,False,2,5.031,True,send_goal_failed,1766294837.532
1,1,1.400,-0.800,1.570,False,2,5.224,True,send_goal_failed,1766294866.856
2,2,1.400,0.900,3.140,False,2,5.326,True,send_goal_failed,1766294896.153
0,0,-1.800,-0.800,0.000,False,2,5.043,True,send_goal_failed,1766295071.579
1,1,1.400,-0.800,1.570,False,2,5.090,True,send_goal_failed,1766295100.841
0,0,-1.800,-0.800,0.000,False,2,5.083,True,send_goal_failed,1766295193.755
0,0,-1.800,-0.800,0.000,False,2,5.093,True,send_goal_failed,1766295280.307
1,1,1.400,-0.800,1.570,False,2,5.085,True,send_goal_failed,1766295309.592
2,2,1.400,0.900,3.140,False,2,5.083,True,send_goal_failed,1766295338.873
3,3,-1.600,0.900,-1.570,False,2,5.085,True,send_goal_failed,1766295368.164
4,0,-1.800,-0.800,0.000,False,2,5.088,True,send_goal_failed,1766295397.456
5,1,1.400,-0.800,1.570,False,2,4.530,True,send_goal_failed,1766295426.744
6,2,1.400,0.900,3.140,False,2,4.529,True,send_goal_failed,1766295456.032
7,3,-1.600,0.900,-1.570,False,2,5.070,True,send_goal_failed,1766295485.934
8,0,-1.800,-0.800,0.000,False,2,5.077,True,send_goal_failed,1766295515.081
9,1,1.400,-0.800,1.570,False,2,5.092,True,send_goal_failed,1766295544.167
10,2,1.400,0.900,3.140,False,2,5.159,True,send_goal_failed,1766295573.586
11,3,-1.600,0.900,-1.570,False,2,5.075,True,send_goal_failed,1766295603.478
12,0,-1.800,-0.800,0.000,False,2,5.044,True,send_goal_failed,1766295632.343
13,1,1.400,-0.800,1.570,False,2,5.031,True,send_goal_failed,1766295662.227
14,2,1.400,0.900,3.140,False,2,5.135,True,send_goal_failed,1766295691.251
0,0,-1.800,-0.800,0.000,False,2,15.390,True,send_goal_timeout,1766299781.683
1,1,1.400,-0.800,1.570,False,2,14.480,True,send_goal_timeout,1766299840.670
